zip,type,decommissioned,primary_city,acceptable_cities,unacceptable_cities,state,county,timezone,area_codes,world_region,country,latitude,longitude,irs_estimated_population
91383,STANDARD,0,Santa Clarita,,,CA,Los Angeles County,America/Los_Angeles,661,,US,34.36,-118.45,0
91390,STANDARD,0,Santa Clarita,"Agua Dulce, Canyon Cntry, Canyon Country, Green Valley","Mint Canyon, Saugus, Sleepy Valley",CA,Los Angeles County,America/Los_Angeles,661,,US,34.58,-118.49,18130
91501,STANDARD,0,Burbank,,Starlight Hills,CA,Los Angeles County,America/Los_Angeles,"747, 818",,US,34.19,-118.29,17530
91502,STANDARD,0,Burbank,,,CA,Los Angeles County,America/Los_Angeles,"747, 818",,US,34.17,-118.31,8860
91503,PO BOX,0,Burbank,,,CA,Los Angeles County,America/Los_Angeles,818,,US,34.18,-118.3,457
91504,STANDARD,0,Burbank,,,CA,Los Angeles County,America/Los_Angeles,"747, 818",,US,34.2,-118.33,23190
91505,STANDARD,0,Burbank,,,CA,Los Angeles County,America/Los_Angeles,"213, 323, 747, 818",,US,34.17,-118.34,28720
91506,STANDARD,0,Burbank,,,CA,Los Angeles County,America/Los_Angeles,"213, 323, 747, 818",,US,34.17,-118.32,17390
91507,PO BOX,0,Burbank,,Magnolia Park,CA,Los Angeles County,America/Los_Angeles,818,,US,34.16,-118.34,385
91508,PO BOX,0,Burbank,,,CA,Los Angeles County,America/Los_Angeles,818,,US,34.19,-118.32,228
91510,PO BOX,0,Burbank,,,CA,Los Angeles County,America/Los_Angeles,818,,US,34.17,-118.34,1185
91521,UNIQUE,0,Burbank,,Disney Productions,CA,Los Angeles County,America/Los_Angeles,213,,US,34.15,-118.32,0
91522,UNIQUE,0,Burbank,,Burbank Studios,CA,Los Angeles County,America/Los_Angeles,213,,US,34.14,-118.33,0
91523,UNIQUE,0,Burbank,,Nbc Tv Network,CA,Los Angeles County,America/Los_Angeles,213,,US,34.16,-118.33,0
91526,UNIQUE,0,Burbank,,Walt Disney Co,CA,Los Angeles County,America/Los_Angeles,818,,US,34.19,-118.32,0
91702,STANDARD,0,Azusa,Irwindale,,CA,Los Angeles County,America/Los_Angeles,"626, 661, 747, 818, 840, 909",,US,34.28,-117.8,52980
91706,STANDARD,0,Baldwin Park,Irwindale,,CA,Los Angeles County,America/Los_Angeles,626,,US,34.09,-117.96,69490
91711,STANDARD,0,Claremont,,,CA,Los Angeles County,America/Los_Angeles,"840, 909",,US,34.12,-117.71,30500
91722,STANDARD,0,Covina,,,CA,Los Angeles County,America/Los_Angeles,626,,US,34.09,-117.9,33860
91723,STANDARD,0,Covina,,,CA,Los Angeles County,America/Los_Angeles,626,,US,34.08,-117.88,17320
